,price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,living_area_ratio,average_room,highness,ВАО,ЗАО,САО,СВАО,СЗАО,ЦАО,ЮАО,ЮВАО,ЮЗАО
1462,70000000.0,1.791759469228055,4.61512051684126,4.2626798770413155,1.9459101490553132,1.9459101490553132,7.601402334583733,0.0,0.0,3.035314937012598,2.0,0.7,35.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1463,18200000.0,2.1972245773362196,3.9318256327243257,3.091042453358316,3.1780538303479458,3.1354942159291497,7.612336837167746,0.0,0.0,3.035314937012598,2.0,0.42,10.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1464,16400000.0,2.772588722239781,3.828641396489095,3.414442608412176,2.4849066497880004,2.5649493574615367,7.584264818389059,0.0,0.0,2.6,2.0,0.6533333333333333,14.7,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1465,17000000.0,1.9459101490553132,3.9945242269398897,3.8310215329737995,2.9444389791664403,2.8903717578961645,7.59337419312129,0.0,0.0,2.7,2.0,0.8463342716299236,22.554808338937463,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1466,79000000.0,2.4849066497880004,4.189654742026425,3.6888794541139363,2.1972245773362196,2.1972245773362196,7.610357618312838,0.0,0.0,3.2,2.0,0.6,19.5,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1467,11500000.0,2.4849066497880004,3.784189633918261,3.4011973816621555,1.3862943611198906,2.302585092994046,7.5883236773352225,0.0,0.0,2.64,2.0,0.6744186046511628,14.5,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1468,49100000.0,2.772588722239781,4.037774210733707,3.8310215329737995,1.791759469228055,3.091042453358316,7.609862200913554,0.0,0.0,3.2,2.0,0.8098674448451512,22.554808338937463,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1469,32000000.0,1.0986122886681098,4.219507705176107,3.529297384289471,2.6390573296152584,3.1780538303479458,7.611842399580417,0.0,0.0,3.0,2.0,0.49402985074626865,16.55,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1470,30900000.0,3.258096538021482,3.871201010907891,3.2188758248682006,1.791759469228055,3.295836866004329,7.603008336866771,0.0,0.0,3.1,2.0,0.5106382978723404,12.0,0.15384615384615385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1471,63000000.0,2.3978952727983707,4.30406509320417,3.6838669122903918,1.791759469228055,2.833213344056216,7.607381425639791,0.0,0.0,3.0,2.0,0.5315068493150684,19.4,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1472,18800000.0,1.791759469228055,4.110873864173311,2.3978952727983707,2.995732273553991,3.2188758248682006,7.612336837167746,0.0,0.0,2.8,2.0,0.16666666666666666,5.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1473,12700000.0,2.6390573296152584,4.007333185232471,3.4688560301359703,2.302585092994046,2.70805020110221,7.596894438144544,0.0,0.0,2.64,2.0,0.575925925925926,15.55,0.5714285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474,29900000.0,1.9459101490553132,4.300002799195291,3.8310215329737995,2.5649493574615367,2.70805020110221,7.599401333415815,0.0,0.0,3.0,2.0,0.6204899130381695,22.554808338937463,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1475,11360000.0,2.8903717578961645,3.828641396489095,3.3877743613300146,1.9459101490553132,2.302585092994046,7.590346945602565,0.0,0.0,2.64,2.0,0.6355555555555555,14.3,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1476,24500000.0,2.995732273553991,4.247065649239764,3.8310215329737995,3.4011973816621555,3.4339872044851463,7.603008336866771,0.0,0.0,3.035314937012598,2.0,0.6547114176759785,22.554808338937463,0.9333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477,77000000.0,2.772588722239781,4.924350925499243,3.8310215329737995,1.3862943611198906,1.6094379124341003,7.603008336866771,0.0,1.0,3.035314937012598,2.0,0.33023145445003604,22.554808338937463,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1478,33000000.0,2.3978952727983707,4.370712874773608,3.8310215329737995,2.4849066497880004,3.58351893845611,7.6128310304073565,0.0,0.0,3.1,2.0,0.5775879216117148,22.554808338937463,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1479,29300000.0,1.791759469228055,3.8155121050473024,3.8310215329737995,1.3862943611198906,2.0794415416798357,7.609862200913554,0.0,1.0,3.2,2.0,1.0159823576097957,22.554808338937463,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1480,93550000.0,2.0794415416798357,4.223909766576744,3.8310215329737995,2.772588722239781,4.204692619390966,7.6128310304073565,0.0,0.0,3.0,2.0,0.6702766222566854,22.554808338937463,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
